,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sao filipe,0,IN,1604440955,44,20.51,76.21,67.23,3.09
1,kahului,40,US,1604441267,52,20.89,-156.47,91.4,19.46
2,grand river south east,1,US,1604440965,25,38.88,-109.5,60.8,3.76
3,constitucion,10,CL,1604440958,67,-35.33,-72.42,60.19,15.73
4,hobart,75,AU,1604440694,46,-42.88,147.33,72.0,17.22
5,atyrau,0,KZ,1604441299,50,47.12,51.88,51.8,13.42
6,hermanus,71,ZA,1604441299,90,-34.42,19.23,64.99,12.21
7,gamba,45,GA,1604440919,90,-2.65,10.0,77.61,6.42
8,saint-joseph,0,RE,1604441138,60,-21.37,55.62,71.6,8.05
9,rikitea,0,PF,1604440903,70,-23.12,-134.97,72.91,14.97
10,taltal,23,CL,1604440882,65,-25.4,-70.48,61.48,6.46
11,souris,20,CA,1604441300,36,49.62,-100.26,60.8,12.75
12,launceston,75,AU,1604441300,82,-41.45,147.17,62.6,20.8
13,vaini,20,TO,1604440874,83,-21.2,-175.2,78.8,11.41
14,hilo,75,US,1604440906,62,19.73,-155.09,86.0,11.41
15,grand gaube,1,US,1604441300,25,38.88,-109.5,60.8,3.76
16,tuktoyaktuk,90,CA,1604440925,85,69.45,-133.04,12.2,10.29
17,leningradskiy,9,RU,1604441008,86,69.38,178.42,7.66,21.43
18,mataura,0,NZ,1604440903,72,-46.19,168.86,62.01,4.0
19,codrington,100,AU,1604440941,91,-38.27,141.97,58.68,11.63
20,victoria,100,HK,1604440744,73,22.29,114.16,70.0,5.99
21,new norfolk,100,LR,1604440919,95,6.65,-10.59,75.43,2.53
22,bluff,5,NZ,1604440865,72,-46.6,168.33,62.01,4.0
23,port alfred,37,CD,1604440934,60,-7.03,29.76,77.54,4.47
24,chino valley,75,US,1604441133,28,34.01,-117.69,84.0,4.7
25,brigantine,1,US,1604441302,46,39.41,-74.36,53.6,6.93
26,atuona,7,PF,1604440911,73,-9.8,-139.03,77.88,18.01
27,rafai,100,CF,1604441303,93,4.95,23.92,71.87,2.04
28,port hardy,37,CD,1604440956,60,-7.03,29.76,77.54,4.47
29,deputatskiy,0,RU,1604440936,85,69.3,139.9,-13.18,1.05
30,yellowknife,40,CA,1604441223,77,62.46,-114.35,3.2,13.87
31,torbay,75,CA,1604441303,80,47.67,-52.73,39.2,6.93
32,valparaiso,41,CL,1604440922,72,-33.04,-71.63,60.8,6.93
33,cape town,0,CL,1604440935,41,-36.41,-71.9,77.0,8.05
34,port moresby,37,CD,1604441304,60,-7.03,29.76,77.54,4.47
35,castro,48,BR,1604441304,63,-24.79,-50.01,61.74,4.7
36,saint-philippe,0,RE,1604440985,60,-21.36,55.77,71.6,8.05
37,iqaluit,75,CA,1604441006,85,63.75,-68.51,12.2,8.05
38,airai,59,TL,1604440956,69,-8.93,125.41,63.3,2.26
39,kapaa,40,US,1604441304,78,22.08,-159.32,82.4,11.41
40,krasnovishersk,27,RU,1604441304,94,60.41,57.08,27.3,8.59
41,klaksvik,100,FO,1604440911,70,62.23,-6.59,44.6,32.21
42,mnogovershinnyy,100,RU,1604440958,96,53.94,139.92,16.38,16.31
43,port hedland,37,CD,1604440956,60,-7.03,29.76,77.54,4.47
44,kavieng,100,PG,1604440919,73,-2.57,150.8,84.72,8.46
45,jamestown,1,US,1604440996,57,42.1,-79.24,48.2,9.17
46,naberera,51,TZ,1604441305,87,-4.2,36.93,62.55,11.07
47,port elizabeth,37,CD,1604440956,60,-7.03,29.76,77.54,4.47
48,lavrentiya,65,RU,1604441305,87,65.58,-171.0,18.52,15.01
49,nastola,0,FI,1604441306,93,60.95,25.93,44.6,9.17
50,arraial do cabo,40,BR,1604440947,56,-22.84,-46.65,69.8,17.22
51,katsuura,40,JP,1604440866,50,35.13,140.3,55.4,13.87
52,abu zabad,0,IN,1604441112,38,24.6,72.7,57.9,1.88
53,bredasdorp,98,ZA,1604441061,93,-34.53,20.04,66.2,3.36
54,cherskiy,0,RU,1604440909,85,68.75,161.3,-7.74,3.2
55,hithadhoo,100,MV,1604440965,73,-0.6,73.08,82.53,6.62
56,nikolskoye,40,RU,1604440872,81,59.7,30.79,50.0,6.71
57,punta arenas,100,PH,1604440917,81,8.99,125.34,77.31,3.76
58,jalu,0,LY,1604441307,68,29.03,21.55,63.52,9.86
59,butaritari,72,KI,1604440873,72,3.07,172.79,81.23,17.29
60,kirakira,91,SB,1604441055,76,-10.45,161.92,82.67,9.4
61,narsaq,100,GL,1604441030,92,60.92,-46.05,39.2,8.05
62,barrow,90,US,1604440801,72,71.29,-156.79,10.4,12.75
63,jutai,93,BR,1604441045,75,-5.18,-68.9,82.92,2.04
64,kodiak,1,US,1604441004,42,57.79,-152.41,28.4,10.29
65,gagino,14,RU,1604441308,87,55.23,45.03,39.29,4.54
66,ushuaia,40,AR,1604440861,50,-54.8,-68.3,55.4,3.36
67,busselton,2,AU,1604440977,78,-33.65,115.33,50.0,12.35
68,itarema,55,BR,1604441309,76,-2.92,-39.92,80.65,13.22
69,mahebourg,75,MU,1604440920,73,-20.41,57.7,71.6,8.05
70,griffith,1,US,1604441309,34,41.53,-87.42,69.8,12.75
71,maceio,0,BR,1604440764,83,-9.67,-35.74,78.8,8.05
72,tasiilaq,100,GL,1604440918,98,65.61,-37.64,32.0,38.03
73,geraldton,0,AU,1604440946,87,-28.77,114.6,55.4,6.93
74,huarmey,70,PE,1604440995,70,-10.07,-78.15,67.66,9.13
75,yar-sale,100,RU,1604440917,98,66.83,70.83,25.7,10.47
76,tuatapere,1,NZ,1604440908,72,-46.13,167.68,62.01,4.0
77,cubuk,40,TR,1604441310,75,40.24,33.03,48.0,3.36
78,ramsar,75,IR,1604441311,77,36.92,50.64,66.2,2.24
79,turtas,99,RU,1604440972,95,58.94,69.13,27.09,11.05
80,verkhoyansk,3,RU,1604441311,84,67.54,133.38,-16.17,1.39
81,albany,69,US,1604441214,68,42.6,-73.97,39.0,6.26
82,igrim,100,RU,1604441029,86,63.19,64.42,34.74,15.1
83,lebu,3,CL,1604441311,75,-37.62,-73.65,56.01,2.08
84,chuy,0,UY,1604440987,83,-33.7,-53.46,57.72,7.38
85,puerto ayora,0,ES,1604440918,88,36.59,-6.23,66.2,4.7
86,mys shmidta,100,RU,1604440976,89,62.06,48.62,39.83,12.77
87,bengkulu,75,ID,1604441312,86,-3.8,102.27,74.7,3.67
88,touros,40,BR,1604441011,78,-5.2,-35.46,80.6,14.99
89,brummen,12,NL,1604441312,93,52.09,6.16,46.0,11.41
90,ixtapa,5,MX,1604440812,35,20.7,-105.2,89.6,9.17
91,sikar,0,IN,1604441286,32,27.62,75.15,57.38,1.12
92,chernigovka,1,RU,1604441313,76,44.34,132.57,24.57,7.0
93,severodvinsk,90,RU,1604441313,87,64.56,39.83,48.2,8.95
94,tigil,100,RU,1604441314,75,57.8,158.67,38.8,19.13
95,hami,20,CN,1604440957,81,42.8,93.45,34.14,1.61
96,anuchino,0,RU,1604441314,76,43.96,133.05,23.11,6.85
97,kelvington,15,CA,1604441314,35,52.17,-103.53,57.2,3.36
98,husavik,0,IS,1604440881,69,66.04,-17.34,39.2,14.99
99,qaanaaq,2,GL,1604441052,79,77.48,-69.36,2.17,5.7
100,ellensburg,75,US,1604441287,75,47.0,-120.55,46.99,1.7
101,puerto leguizamo,0,ES,1604441116,88,36.59,-6.23,66.2,4.7
102,severo-kurilsk,19,RU,1604441315,82,50.68,156.12,41.47,12.75
103,ponta do sol,75,PT,1604440918,63,38.73,-28.27,60.8,11.41
104,lorengau,91,PG,1604440889,70,-2.02,147.27,84.22,3.56
105,kawalu,81,ID,1604441145,89,-7.38,108.21,72.36,1.3
106,mutum,99,BR,1604441316,81,-19.8,-41.44,68.07,4.97
107,maturin,100,VE,1604441317,92,9.75,-63.18,74.89,4.83
108,acarau,74,BR,1604441317,77,-2.89,-40.12,80.6,12.93
109,bathsheba,20,BB,1604440989,69,13.22,-59.52,82.4,17.22
110,guerrero negro,52,MX,1604440936,50,17.67,-100.0,74.34,4.34
111,urumqi,0,CN,1604441317,51,43.8,87.6,35.6,4.47
112,victor harbor,76,US,1604440938,76,42.98,-77.41,39.99,2.75
113,tual,100,ID,1604441318,78,-5.67,132.75,81.37,13.98
114,coquimbo,90,CL,1604440968,76,-29.95,-71.34,57.2,11.41
